h3_cell_6,sum_population,avg_food,sum_gdp,gdp_per_capita
86264b257ffffff,623.0,,769540.0770999999,1235.2168171749597
86264b25fffffff,2690.0,,147857673.7534,54965.67797524163
86264b267ffffff,381.0,,736892.7102,1934.101601574803
86264b26fffffff,168.0,,2020159.92981,12024.761486964286
86264b277ffffff,408.0,,425554.91601,1043.0267549264706
86264b287ffffff,429.0,,5789090.9775,13494.384562937063
86264b28fffffff,227.0,,982906.2489,4329.983475330397
86264b297ffffff,485.0,,636555.7529,1312.486088453608
86264b29fffffff,307.0,,687402.7067,2239.096764495114
86264b2a7ffffff,299.0,,809521.1158200001,2707.4284810033446
86264b2afffffff,58.0,,410160.69523,7071.736124655173
86264b2b7ffffff,168.0,,387879.45655,2308.8062889880953
86264b2c7ffffff,259.0,,509847.55216,1968.5233674131275
86264b2cfffffff,285.0,,1863241.3811,6537.689056491228
86264b2d7ffffff,117.0,,421794.94337,3605.084986068376
86264b2dfffffff,214.0,,1311605.90337,6128.999548457944
86264b2e7ffffff,688.0,,959432.1211,1394.5234318313953
86264b2efffffff,2576.0,,20777914.338800002,8065.960535248448
86264b2f7ffffff,238.0,,1132564.142,4758.672865546218
86264b307ffffff,508.0,,1250338.1499,2461.2955706692915
86264b30fffffff,81.0,,480470.31687,5931.732307037037
86264b317ffffff,784.0,,7590484.2714,9681.740142091836
86264b31fffffff,281.0,,3573906.08655,12718.526998398576
86264b327ffffff,167.0,,1196835.21425,7166.6779296407185
86264b32fffffff,136.0,,351503.13167,2584.581850514706
86264b337ffffff,40.0,,367026.758,9175.66895
86264b347ffffff,218.0,,581054.2144,2665.3863045871562
86264b34fffffff,1074.0,,9104036.254,8476.756288640596
86264b357ffffff,368.0,,1265502.5134,3438.8655255434783
86264b35fffffff,385.0,,1479773.01254,3843.5662663376625
86264b367ffffff,176.0,,456558.41353,2594.081895056818
86264b36fffffff,328.0,,776476.7715,2367.307230182927
86264b377ffffff,49.0,,622133.5672800001,12696.603413877552
86264b387ffffff,497.0,,378766.0575,762.1047434607646
